月份/項目,重要工作項目
2026/01,無
2026/02,無
ㄌ,"1、持續協助設備維運內部作業工項
目前設備人力尚未到位，故內部行政流程(領庫、上單、架機驗測等)，會先由導入夥伴協助
2、持續尋找北院駐點人才
每兩週提供一批人才清單給人資單位，進行人才邀約
短期會調動偲貝回北院駐點，如平日遇無人值班時，會由我和Jine機動性配置現場駐點
3、樂園專案教育訓練與上線人力配置
本月要完成2場樂園業者教育訓練
目前專案值班人力尚未到位，其上線初期遇假日無人值班時，會先調動套票導入協助專案值班
4、協助阿里山櫻花季設備建置
嘉義分署、嘉義客運、才庫教育訓練，61k、29k設備建置
5、南投客運POS教育訓練
完成去年交通專案的教育訓練(埔里、台中干城、台中高鐵)
6、完成雙課技術能力級別表
規劃雙課技術能力級別表，依據同仁現在技術理解與問題排解能力，定義每位同仁級別
4 月底前，與同仁1 on 1討論提升級別的方法
7、定義雙系統導入指導書撰寫方向
各別與雙系統導入召開會議，針對近三季來客戶最常諮詢問題類型(ex:設備異常、營運操作…等)，定義每位夥伴撰寫方向
8、FAPA知識庫維運
QA資料淬鍊、系統權限定義
9、貨架區環境整理
因應貨架區要施工隔間，故3/24需派人力整理倉庫"
2026/04,"1、AI 自動化 (進行中，取代每月報告製作工作、教學或專案文件)
2、香港夢之旅導入中 (進行中，建立第一批分銷產品)
3、樂園幣專案上線 (進行中，尋找人才、專線電話，最快5月中)
4、Release 自動化驗測機器人 (進行中)
5、redmine跨單位公版表單制定 (預計本週處級公告)
6、持續協助設備維運內部作業工項 (進行中)
7、持續尋找北院駐點人才(進行中)
8、雙課技術能力級別表 (Done)
9、雙系統導入指導書撰寫方向 (Done)
10、優化新人工作說明手冊 (Done)
11、FAPA知識庫維運
Line BOT規劃啟動時程 (Done)、分流機制圖 (初版:Done)"
2026/05,"1、部門績效總覽自動化
ttps://emma-collab190.github.io/dept-dashboard/index.html
2、部門工作日誌自動化
*每月每人執行需時210分鐘，AI自動化後縮短至105分鐘，提升50%的工作效率
服務導入工作日誌
https://script.google.com/macros/s/AKfycbwllnoq4q_hEYMIH8aOPc2BVK8YocmFQTWDoH-CnJ7VfdaDd_Cw5_5T4Q2oiMm5PpFw/exec
客戶服務工作日誌
https://script.google.com/macros/s/AKfycbxS4ofYpp4n2C022S5twCxcOTaG1vMFhFXoy0Tztu_3534Ki2rUZaGx32NR_FOcQrQ/exec
2、香港夢之旅導入中
*第一批分銷產品建立中，協助客戶對接OTA串接，下一階段分銷系統教育訓練)
3、樂園幣專案上線 (進行中，尋找人才、專線電話)
4、Release 自動化驗測機器人 (Done)
*FonTicket系統環測的購票流程原每月執行需時240分鐘，AI自動化後縮短至30分鐘，提升88%的工作效率
5、Redmine跨單位公版表單制定 (Done)
6、協助設備維運內部作業工項 (持續協助中)
7、尋找北院駐點人才(持續尋找中)
8、FAPA知識庫維運(安排第一批測試人員使用，收集反饋資料)

下一階段：FonTicket系統環測的商品建立自動化、6/1起部門全面啟用AI工具、分析導入的年度服務數據"
2026/06,"1、系統更新查詢平台 (目前在回補資料中，預計6月底公告營運處，後續再統計提升效率)
https://script.google.com/a/macros/fontrip.com/s/AKfycbwpoMhhMtxbnYAxzFqAFyq_1FkdveBteGTOa8gMyomLpxBlsgnC8VU6hqftNNepjnWlHw/exec
功能亮點
各部門相關人員可有效掌握三大系統的最新功能與異動進度，降低跨部門溝通與等待時間
適用各部門快速資料查找，減少同仁對導入課的諮詢依賴
系統更新當週會同步資料，確保資訊時效；操作介面簡易，無須教育訓練即可上手
2、淡水客運教育訓練 (Done)
3、FAPA知識庫建置(持續進行中)
4、樂園幣專案 (進行中，尋找人才、專線電話)
5、尋找北院駐點人才(持續尋找中)
6、香港夢之旅分銷系統教育訓練(進行中)
7、野柳女王賣店現場教育訓練 (Done)
8、南院駐點人員工作檢核
9、員工績效考核(進行中)

下一階段：
1、6/1起部門全面啟用AI工具
2、Ring bot 套票系統資料淬鍊 (Jo/Iris)
3、FonTicket系統環測的商品建立自動化(Stephen)
4、建立雙系統知識文件(含OTA串接標準文件與FAQ)"
2026/07,"1、Release 自動化驗測-商品建立機器人 (Done)
*FonTicket系統環測的商品建立原每月執行需時240分鐘，AI自動化後縮短至40分鐘，提升83%的工作效率
https://docs.google.com/spreadsheets/d/1P4QLM3m6dLlOAegHu4-XcV7MPc-acU2KuDjuz33XdmA/edit?gid=0#gid=0
2、協助物流團隊流程擬定、封包出貨，並主動製作大宗出貨管理網頁，讓新人接手管理(單機)
https://drive.google.com/file/d/1KACYpzk9orkSkm7b5YmM9c_ZsoQM035N/view?usp=sharing
https://drive.google.com/file/d/1o4XmuYq-WFBNeDyyQK0ksEr_1bgchTLp/view?usp=sharing
https://drive.google.com/file/d/1FYdPOzUBKv0ORByimTAjwyAWasYfGDd-/view
功能亮點
(1)主動合併相同地址名字與電話的資料(包含大宗與貼紙)
(2)優化原先系統上會因為商品太多貼紙跑版的問題
(3)可顯示出超過重量的包裹，免去人力點貨的時間
(4)物流地址貼紙上同時出現大宗號碼，減少貼錯號碼的問題
*大宗出貨原每100筆訂單資料彙整(含印製標籤)需時60分鐘，AI自動化後縮短至10分鐘，提升83%的工作效率
3、系統更新平台使用率自動化分析(每週)
https://docs.google.com/spreadsheets/d/1eXL4MNZ7WTqTTy2-79wXd9nEFHyh2WXBpTGXIgIqji8/edit?gid=1919393674#gid=1919393674
*目標：追蹤到年底各部門使用率，思考下一步優化方向
4、研究套票系統自動上架功能與營運情境模擬(進行中)
5、自動化Line推播(每週/每月)部門同仁工作近況(完成第一階段，繼續思考優化)
6、協助物流單位出貨上千筆訂單，兩週內緩解旅客收不到貨的議題
7、APP整併，取卡點教育訓練(進行中)
8、香港夢之旅OTA分銷產串接、教育訓練(進行中)
9、Ring bot 套票系統資料淬鍊(進行中)
10、樂園幣專案 (進行中，尋找人才、專線電話)
11、尋找北院駐點人才(持續尋找中)
12、南院駐點人員工作檢核


下一階段：
1、建立雙系統知識文件(含OTA串接標準文件與FAQ)"
2026/08,"1、設備遠端連線工具改用 AnyDesk，盤點在外的舊設備移除TeamViewer工項，共428台
https://docs.google.com/spreadsheets/d/1AL8NAAaMB7-Ac9hGsohtAxnqUeHy4I-L2o0BFWZp4Jw/edit?usp=sharing 
2、豐趣更新三代POS，導入協助盤點既有場域前置作業
https://isabelying.pages.fontrip.com/StoreApp%E5%8F%96%E5%8D%A1%E5%8A%9F%E8%83%BD%E6%95%B4%E4%BD%B5%E8%AA%AA%E6%98%8E%E6%9C%83_NABC%E7%89%88.html
https://docs.google.com/spreadsheets/d/12qqxDGEsQrN8ZxE6lT3pYcwhBgGGkA8w7BrQkJCNwV8/edit?pli=1&gid=1464579049#gid=1464579049
3、APP整併，取卡點教育訓練(進行中)
4、中秋月餅寄送前置作業(名片、紙箱(大小待確認)、發泡袋、有同仁來索取禮盒出差順便送....)，9/11前要全數寄出，物流不配送
5、香港夢之旅OTA產品變價，第二批分銷產品串接完成*19支(done)
6、樂園幣專案 (進行中，尋找人才) 
7、北故宮駐點新人訓練(9/14報到)
8、協助台灣好行升級專案Ecc商品建立與業者洽談--Iris
9、諮詢單半自動化建構(CDP) --stephen
10、9/5-9/7 員工旅遊，周末總部人員支援北故宮駐點"
2026/09,"1、尋找人才--客服*2 (正值*1、約聘*1)、服務導入*1(正職*1，規劃FonTour知識庫機制建立與維運)
2、北故宮駐點新人訓練--預計10/6 回北院值班，10/20 Hippo回總部上班
3、協助台灣好行升級專案，Ecc商品建立與業者洽談--Iris
4、協助樂園幣專案三方溝通案件處理--Jo (平均每天3~4小時處理專案溝通)
5、人力外調支援北故宮駐點--Hippo(2026/04-2026/10月中)
6、安排17間場域邦捷的備份小工具安裝-- Jine、Stephen
7、中秋、雙十連假、光復節導入排人力值班--Jine、Stephen、Emma

下一階段：
1、內部諮詢表推動營運處同仁使用--預計10月中前上線
2、客戶資料平台(CDP)推動使用--預計10月中前上線
3、RING客服機器人推動內部使用--預計10月底上線
4、協助新交通案開站與產品上架-- Iris，預計10月中開始執行
5、OTA串接基礎排錯與操作說明-- Emma，預計10月底完成
6、夢之旅產品重串-- Emma，預計60支產品要上架，10月底~11月中旬要執行

明年度目標
1、人力規劃
2、雙課目標方向-- 完善知識庫及持續優化資料庫
"
2026/10,
2026/11,
2026/12,
